,org_id,org_name,ror
90,288,РГУ нефти и газа,https://ror.org/0082yr561
91,1001758,Versailles Saint-Quentin-en-Yvelines University,
92,5001506,"Каирский университет, ОАР",
93,1001763,University of Pisa,
94,286,РГГУ,https://ror.org/0473ch268
95,1001766,Autonomous University of Madrid,
96,302,РУДН,https://ror.org/02dn9h927
97,305,РЭУ,https://ror.org/04pbtsc74
98,2503,МТУСИ,
99,1001781,York University,
100,1003835,Louisiana Tech University,
101,319,Санкт-Петербургский государственный экономический университет,https://ror.org/0398ex766
102,1001792,University of Debrecen,
103,1003839,Southwest Petroleum University,
104,1003840,State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation,
105,327,Сибирский государственный индустриальный университет,https://ror.org/01d763831
106,5015880,Москва,
107,5015881,Ленинград,
108,5015882,Казань,
109,331,Сибирский ФУ,https://ror.org/05fw97k56
110,5015879,Будапешт,
111,1001810,University of Oslo,
112,5001555,Всесоюзный заочный финансово-экономический институт,
113,340,СТАНКИН,https://ror.org/05jv2yg47
114,341,Старооскольский технологический институт,
115,1001832,North Carolina Agricultural and Technical State University,
116,5001559,"Украинский научно-исследовательский институт механической обработки древесины, г. Киев",
117,1000205,Program Systems Institute of RAS,
118,1001819,Institute of Nuclear Physics of Lyon,
119,5001564,Институт геофизики Уральского филиала Академии наук СССР,
120,1001820,Rio de Janeiro State University,
121,1001821,Université Libre de Bruxelles,
122,1001822,Cukurova University,
123,1001823,Northeastern University,
124,351,Томский политехнический университет,https://ror.org/00a45v709
125,1001825,Scuola Normale Superiore,
126,1001826,Fermilab,
127,1001827,University of Ioannina,
128,1001828,University of Antwerp,
129,1001829,Vanderbilt University,
130,1001830,University of Florence,
131,1001831,Bhabha Atomic Research Centre,
132,1001824,DSM (Netherlands),
133,1001833,University of Bristol,
134,1001834,Rice University,
135,5001580,Коломенский педагогический институт,
136,1001835,Austrian Academy of Sciences,
137,1001836,Florida International University,
138,1001837,Brunel University London,
139,1001840,University of North Carolina at Chapel Hill,
140,1001839,University of Perugia,
141,1001838,Paul Scherrer Institute,
142,1001841,Johns Hopkins University,
143,1001842,University of Illinois at Chicago,
144,1001843,Saha Institute of Nuclear Physics,
145,374,ФИЦ ИУ РАН,
146,1001844,Middle East Technical University,
147,1001846,University of Warsaw,
148,1001849,Kangwon National University,
149,1001847,University of Colorado Boulder,
150,1001848,"Rutgers, The State University of New Jersey",
151,1001845,Universidade Estadual Paulista (Unesp),
152,1001850,Universidad de Cantabria,
153,1001851,University of Rochester,
154,1001853,National Taiwan University,
155,1001854,Florida State University,
156,1001855,Northwestern University,
157,1001856,Korea University,
158,1001852,Spanish National Research Council,
159,1001858,Rutherford Appleton Laboratory,
160,1001860,Alikhanyan National Laboratory,
161,1001862,University of Split,
162,1001863,Baylor University,
163,1001864,Florida Institute of Technology,
164,1001865,University of Trieste,
165,1001866,University of Alabama,
166,5028229,Paris,
167,1001868,Helsinki Institute of Physics,
168,1001869,University of Mons,
169,1001870,Heinrich Heine University Düsseldorf,
170,1001871,University of Delhi,
171,1001872,University of Puerto Rico-Mayaguez,
172,1001873,Peking University,
173,1001874,Polytechnic University of Bari,
174,1001875,Rockefeller University,
175,1001876,Quaid-i-Azam University,
176,1001877,Tata Institute of Fundamental Research,
177,1001878,Lawrence Livermore National Laboratory,
178,1001879,SLAC National Accelerator Laboratory,
179,1001880,University of Cyprus,
180,1001881,Université Paris Cité,
181,403,Южно-Уральский ГУ,https://ror.org/03sfk2504
182,1001883,Texas Tech University,
183,1001884,Bulgarian Academy of Sciences,
184,1001885,National Institute of Chemical Physics and Biophysics,
185,1001886,University of Mississippi,
186,1001887,Fairfield University,
187,1001888,University of Catania,
188,1001889,Brandenburg University of Technology Cottbus-Senftenberg,
189,1001890,University of Pavia,
190,1001891,University of Trento,
191,1001892,Kyungpook National University,
192,1001893,Panjab University,
193,1001894,National Institute for Nuclear Physics,
194,1001895,Washington State University,
195,1001896,Vrije Universiteit Brussel,
196,1001897,University of Eastern Piedmont Amadeo Avogadro,
197,1001898,Indian Institute of Science Education and Research Pune,
198,1001899,Universidad de Los Andes,
199,1001900,Queen Mary University of London,
200,1001901,University of Oviedo,
201,1001902,Embry–Riddle Aeronautical University,
202,1001903,University of Basilicata,
203,1001904,Sungkyunkwan University,
204,1001905,Indiana University,
205,1001906,University of Sussex,
206,1001907,Seoul National University,
207,1001908,Fayoum University,
208,1001909,Suez University,
209,1001910,Chonnam National University,
210,1001911,Isfahan University of Technology,
211,1001912,University of St Andrews,
212,1001913,University of Pennsylvania,
213,1002258,Centro Brasileiro de Pesquisas Físicas,
214,1001915,Joseph Fourier University,
215,1001916,University of Arkansas for Medical Sciences,
216,1001917,Columbia University,
217,1001914,Illumina (United States),
218,5001657,Тбилисский математический институт им. А. М. Размадзе Академии наук СССР,
219,1001920,Visva-Bharati University,
220,1001921,Tata Consultancy Services (India),
221,1001922,Okayama University,
222,1001923,Autonomous University of Barcelona,
223,1001924,Sejong University,
224,1001925,Gangneung–Wonju National University,
225,1002261,Abdus Salam Centre for Physics,
226,1001927,National Institute of Science Education and Research,
227,2504,Мурманский государственный технический университет,
228,1001929,University of Valencia,
229,1001930,University of Cape Town,
230,5001587,Институт эпидемиологии и микробиологии имени Н. Ф. Гамалеи Академии медицинских наук СССР,
231,1001931,Iowa State University,
232,1001932,Academia Sinica,
233,1001934,Universidad Complutense de Madrid,
234,1001933,Federal University of Lavras,
235,1001936,University of South Carolina,
236,1001937,Chulalongkorn University,
237,1001938,University of Delaware,
238,1001939,University of Tennessee System,
239,1001940,Universität Innsbruck,
240,1001857,Folkwang University of the Arts,
241,1001941,"National Agency for New Technologies, Energy and Sustainable Economic Development",
242,1001943,Universidade Federal do ABC,
243,1001944,University of Jammu,
244,1001945,Autonomous University of San Luis Potosí,
245,1001946,University of Geneva,
246,1001947,Rush University Medical Center,
247,2524,"Научно-исследовательский центр АО ""Воронежсинтезкаучук""",
248,1001949,Shandong University,
249,1001950,Brookhaven National Laboratory,
250,1001951,Northern Illinois University,
251,1001859,Oklahoma State University,
252,2529,"""Научно-производственный комплекс ""Технологический центр""",
253,5001698,Пензенский политехнический институт,
254,1001948,Federal University of Bahia,
255,5001700,Симферопольский государственный университет им. М. В. Фрунзе,
256,1001955,Délégation Paris 7,
257,1001861,University of Antioquia,
258,1001958,TRIUMF,
259,1001954,Kyoto University,
260,5001593,Волгоградский государственный педагогический институт им. А. С. Серафимовича,
261,1001962,University of Regina,
262,1001963,High Energy Accelerator Research Organization,
263,1001964,University of Bern,
264,1001965,University of Sheffield,
265,1001966,University of Toronto,
266,1001967,Institute for High Energy Physics,
267,1004011,Imam Abdulrahman Bin Faisal University,
268,1001970,Kobe University,
269,1001971,Royal Holloway University of London,
270,1001973,University of Copenhagen,
271,1001974,Tbilisi State University,
272,1001975,University of Ferrara,
273,1001976,University of Clermont Auvergne,
274,5026297,Новосибирск,
275,1001978,Central China Normal University,
276,1001979,Capital Normal University,
277,1001980,University of Milano-Bicocca,
278,1001982,Dartmouth College,
279,1001983,Anhui University,
280,1001984,University College London,
281,1001985,Beijing University of Posts and Telecommunications,
282,1001986,University of Auckland,
283,1001987,University of Bergamo,
284,1001988,Ames Research Center,
285,1001867,Centers for Medicare and Medicaid Services,
286,1001990,Brandeis University,
287,1001991,University of Siena,
288,1001992,Sant'Anna School of Advanced Studies,
289,1001993,Mayo Clinic,
290,1001989,University of Rijeka,
291,1001994,Yale University,
292,1001996,University of Alberta,
293,5011981,Москва,
294,5011982,Москва,
295,1001998,Charité - Universitätsmedizin Berlin,
296,1001997,Veterans Health Administration,
297,1002001,Texas A&M University at Qatar,
298,1002002,Osaka University,
299,1002000,European Spallation Source,
300,1002004,National United University,
301,5011980,Ленинград,
302,1002006,University of Malaya,
303,1002005,University of Lyon System,
304,1002008,Samsung (South Korea),
305,1002007,National Bureau of Economic Research,
306,1002010,Kyushu University,
307,1002011,University of Coimbra,
308,5011996,Москва,
309,1002013,Ithaca College,
310,5011997,Москва,
311,1002015,Max Planck Institute for Nuclear Physics,
312,1002009,University of Lisbon,
313,1002016,Trento Institute for Fundamental Physics and Applications,
314,1002018,INFN Sezione di Pavia,
315,1002019,INFN Sezione di Milano,
316,1002020,INFN Sezione di Padova,
317,1002021,University of Bergen,
318,1002022,Kirchhoff (Germany),
319,5001772,"Институт радиофизики и электроники АН Украины, г. Харьков",
320,5026355,Киев,
321,5026356,Москва,
322,1000000,Lomonosov Moscow State University,
323,1000001,Moscow Aviation Institute,
324,1000003,St Petersburg University,
325,1000005,Samara National Research University,
326,1000006,ITMO University,
327,2632,"ОOO ""Техносенсор""",
328,5030474,Москва,
329,5030475,Минск,
330,1000013,V. A. Trapeznikov Institute of Control Sciences,
331,1001882,National Institute of Standards and Technology,
332,1002067,Chinese University of Hong Kong,
333,1000020,Moscow Power Engineering Institute,
334,5001813,"Католический университет Лувена, Бельгия",
335,1000022,Moscow Institute of Physics and Technology,
336,1004119,Parthenope University of Naples,
337,1000031,National Research Tomsk State University,
338,1000037,Peter the Great St. Petersburg Polytechnic University,
339,1002086,Hong Kong University of Science and Technology,
340,1000041,Novosibirsk State Technical University,
341,1000044,N. I. Lobachevsky State University of Nizhny Novgorod,
342,1000046,Kazan Federal University,
343,5012079,Тула,
344,1000048,Russian Academy of Sciences,
345,1000049,Ural Federal University,
346,1002101,University of the Witwatersrand,
347,1002102,Institute of Oil and Gas Problems of the Siberian Branch of the RAS,
348,5003894,"Военный институт (железнодорожных войск и военных сообщений) Военной академии материально-технического обеспечения имени генерала армии А. В. Хрулёва, Российская Федерация, 198504, Санкт-Петербург, ул. Суворовская, 1",
349,1002107,Voronezh State Institute of Physical Culture,
350,1000059,St. Petersburg Institute for Informatics and Automation,
351,1000061,Keldysh Institute of Applied Mathematics,
352,1002114,Institute of General and Experimental Biology,
353,1002115,Samarkand State University,
354,1002116,Baikal Nature Reserve,
355,1002117,Perm State Humanitarian-Pedagogical University,
356,1002118,Institute of Plant and Animal Ecology,
357,1002119,Federal Research Centre Coal and Coal Chemistry,
358,1002120,Ural State Pedagogical University,
359,1000077,Institute of Bioorganic Chemistry,
360,1000078,Ufa State Aviation Technical University,
361,5001871,"Государственный научно-исследовательский институт физических проблем имени Ф. В. Лукина, Зеленоград, Москва",
362,1002147,Jagiellonian University,
363,5003940,"Department of Mathematics, Quaid-i-Azam University 45320, Islamabad 44000 Pakistan",
364,5001897,"Институт нефтехимического синтеза им. А. В. Топчиева РАН, г. Москва",
365,1002154,Okayama University of Science,
366,1000206,Institute for System Programming,
367,1002156,Opole University,
368,1000119,Kurchatov Institute,
369,2744,ООО Спич-Драйв,
370,2750,"ООО ""Техносенсор""",
371,1000126,Institute of Oceanology. PP Shirshov Russian Academy of Sciences,
372,1002179,University of Göttingen,
373,1000143,Belarusian State University,
374,1000148,Kola Science Centre,
375,1000155,Petersburg Nuclear Physics Institute,
376,5001952,Московский гидромелиоративный институт,
377,1001918,Konkuk University,
378,1000167,Novosibirsk State University,
379,1000174,French National Centre for Scientific Research,
380,1000179,Siberian Branch of the Russian Academy of Sciences,
381,1000184,Saint Petersburg State University of Aerospace and Instrumentation,
382,1002236,Deutsches Elektronen-Synchrotron DESY,
383,1002237,Institut de Recherche sur les Lois Fondamentales de l'Univers,
384,1002238,INFN Sezione di Pisa,
385,1002239,Institut National de Physique Nucléaire et de Physique des Particules,
386,1002240,Ghent University Hospital,
387,1002241,INFN Sezione di Bologna,
388,1002242,Hubert Curien Pluridisciplinary Institute,
389,1002243,Institute of High Energy Physics,
390,1002244,Institute of Physics of Cantabria,
391,1000195,Lipetsk State Technical University,
392,1002246,INFN Sezione di Firenze,
393,1000197,Centre for Forest Ecology and Productivity,
394,1002248,"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",
395,1002247,INFN Sezione di Perugia,
396,1002250,Laboratory of Instrumentation and Experimental Particles Physics,
397,1002251,Leprince-Ringuet Laboratory,
398,1002252,INFN Sezione di Bari,
399,1002249,Academy of Scientific Research and Technology,
400,1002254,Institute for Research in Fundamental Sciences,
401,1002255,Institute of High Energy Physics,
402,1002256,INFN Sezione di Roma I,
403,1002257,INFN Sezione di Napoli,
404,1002259,Institute for Nuclear Research and Nuclear Energy,
405,1002260,National Centre for Nuclear Research,
406,1002262,Institute of Nuclear and Particle Physics,
407,1002263,National Centre of Scientific Research Demokritos,
408,5002007,"Институт динамики геосфер Академии наук СССР, г. Москва",
409,1002264,INFN Sezione di Catania,
410,1002266,Centre de Calcul de l’Institut National de Physique Nucléaire et de Physique des Particules,
411,1002267,National Laboratory of Frascati,
412,1002268,Laboratoire d’Annecy de Physique des Particules,
413,1002265,Institute for Particle and Nuclear Physics,
414,1002270,Purdue University Northwest,
415,1002269,Georgian National Academy of Sciences,
416,1004315,The University of Texas at Dallas,
417,5002022,"Физический институт им. П. Н. Лебедева Российской академии наук, г. Москва",
418,5002025,"Центральная геофизическая экспедиция, г. Москва",
419,1000234,Air Force Academy named after Professor NE Zhukovsky and Yu.A. Gagarin,
420,1001926,University of Freiburg,
421,1000239,University of Porto,
422,2869,Саратовский научный центр РАН,
423,1000245,Moscow State University,
424,1001928,Benemérita Universidad Autónoma de Puebla,
425,1003965,University of Oklahoma,
426,1002305,RMIT University,
427,5000004,"Институт проблем передачи информации РАН, Москва",
428,5000005,"Институт проблем управления им. В. А. Трапезникова РАН, Москва",
429,1000265,Institute of Physics,
430,5000013,"Санкт-Петербургский государственный университет информационных технологий, механики и оптики",
431,1000273,Tel Aviv University,
432,1003969,Istanbul Bilgi University,
433,1000282,Moscow Engineering Physics Institute,
434,1001935,King Abdulaziz University,
435,5000028,Вычислительный центр им. А. А. Дородницына РАН,
436,5000034,Институт прикладной математики и механики НАН Украины,
437,1000290,Universidad Andrés Bello,
438,5000038,"Троицкий институт инноваций и термоядерных исследований, Троицк, Московская область",
439,5002088,"Институт физики Дагестанского научного центра РАН, г. Махачкала",
440,1000297,TU Wien,
441,5000043,"Южный федеральный университет, Ростов-на-Дону",
442,1000300,Norwegian University of Science and Technology,
443,1000302,National Academy of Sciences of Belarus,
444,1002350,Taif University,
445,1000308,University of Naples Federico II,
446,5000052,Вологодский научно-координационный центр центрального экономико-математического института РАН,
447,5001581,"Всесоюзный заочный институт текстильной и легкой промышленности, г. Москва",
448,5000060,Московский авиационный институт,
449,5000061,Московский государственный авиационный институт,
450,1001942,"University of California, Santa Cruz",
451,1000319,University of Washington,
452,1000318,Lund University,
453,1000321,"Czech Academy of Sciences, Institute of Physics",
454,5000066,Иерусалимский политехнический институт &ndash; Махон Лев,
455,5000067,Московский энергетический институт (технический университет),
456,1000317,KTH Royal Institute of Technology,
457,5000073,"Институт автоматики и информационных технологий НАН КР, Бишкек",
458,5000076,"НИИ космических систем Государственного космического научно-производственного центра им. М. В. Хруничева, г. Юбилейный",
459,1000332,Zarubezhneft,
460,1000343,Dubna State University,
461,1000344,Lappeenranta-Lahti University of Technology,
462,1000346,Massachusetts Institute of Technology,
463,2972,Университет Ковентри,
464,1000349,Université Catholique de Louvain,
465,5000094,"Белорусский государственный университет информатики и радиоэлектроники, Минск",
466,1000348,Grenoble Alpes University,
467,1003984,Slovak Academy of Sciences,
468,1000355,University of Canterbury,
469,1003985,Institute of Experimental Physics,
470,1000357,TU Dortmund University,
471,5000103,"Дальневосточный государственный университет, Владивосток",
472,5000105,"Институт компьютерных и телекоммуникационных систем, София, Болгария",
473,5006252,Москва,
474,5006253,Москва,
475,1000369,Technical University of Darmstadt,
476,1003988,Universidade Nova de Lisboa,
477,5000117,Петрозаводский государственный университет,
478,1002422,Aristotle University of Thessaloniki,
479,5000119,Нижегородский государственный университет,
480,5000121,Костромской государственный технологический университет,
481,5011455,Москва,
482,5000124,"Государственный научно-исследовательский испытательный институт авиационной и космической медицины, Москва",
483,3004,Уральский государственный экономический университет,
484,1000382,Institute of Physics and Technology,
485,1004476,Universidad Antonio Nariño,
486,3009,"Факультет прикладной математики и информатики, Белорусский государственный университет",
487,5000136,Московский государственный университет приборостроения и информатики,
488,5002190,"Siedlce University, Faculty of Sciences, Siedlce, Poland",
489,1000400,University of Glasgow,
490,1000402,University of Tasmania,
491,5000148,Московский государственный автомобильно-дорожный институт,
492,1002253,Ibero American University,
493,1000407,Shanghai Jiao Tong University,
494,1000409,University of Hong Kong,
495,1000411,Grenoble Institute of Technology,
496,1000412,Imperial College London,
497,1000413,UNSW Sydney,
498,1000414,National and Kapodistrian University of Athens,
499,1000415,McGill University,
500,1000416,University of Illinois System,
501,5000161,Финансовая академия при Правительстве РФ,
502,1000418,Hungarian Academy of Sciences,
503,1000419,HUN-REN Institute for Nuclear Research,
504,1000417,Polytechnic University of Bucharest,
505,1004518,National University of Santiago del Estero,
506,1004519,National University of Rosario,
507,1004520,University of Deusto,
508,1000425,University of Stuttgart,
509,1004521,Carinthia University of Applied Sciences,
510,1004526,Universidade Federal de Juiz de Fora,
511,1004527,"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina",
512,1004528,Brazilian Medical Association,
513,1000436,Purdue University West Lafayette,
514,5002231,"ПАО &quot;Сбербанк&quot;, г. Москва",
515,5002232,"Sber AI, Москва, Россия",
516,1000439,Ben-Gurion University of the Negev,
517,1000445,Harvard University,
518,5000191,"Институт математики Щециского университета, Польша",
519,1002497,Humboldt State University,
520,5000194,"Институт динамики систем и теории управления СО РАН, Иркутск",
521,5000198,Ярославский государственный университет им. П. Г. Демидова,
522,1000455,Ghent University,
523,5000200,"Университет мировой экономики и дипломатии, Ташкент",
524,1000457,University of Belgrade,
525,1000454,National University of Science and Technology,
526,1038,Ailamazyan Program Systems Institute of RAS,
527,5000207,"UiT Арктический университет Норвегии, Тромсе",
528,1000463,University of Seoul,
529,3095,"Федеральный исследовательский центр ""Информатика и управление"" РАН (Москва)",
530,1004567,University of Louisville,
531,1000474,Universität Hamburg,
532,5000219,Центр научных телекоммуникаций и информационных технологий РАН,
533,1000476,University of Florida,
534,1002524,University of Massachusetts Amherst,
535,1002525,INFN Sezione di Ferrara,
536,1000479,University of Pittsburgh,
537,1000481,RWTH Aachen University,
538,1002532,Jožef Stefan Institute,
539,1000484,University of Clermont Auvergne,
540,5000230,"Университет Гренобль &mdash; Альпы, Франция",
541,1000487,Institut Pascal,
542,1000486,Saint Petersburg Academic University,
543,1002534,Syracuse University,
544,5000234,"University of Minho, Braga, Portugal",
545,1000492,University of Amsterdam,
546,5000236,"Университет Потсдама, ФРГ",
547,1000493,Vrije Universiteit Amsterdam,
548,1000495,Wayne State University,
549,1001977,Mersin University,
550,5000241,Воронежский государственный педагогический университет,
551,5000240,"Ханчжоу Дяньцзы Университет, 310018, Ханчжоу, Китай",
552,1000496,Radboud University Nijmegen,
553,1000500,ETH Zurich,
554,1002548,Max Planck Institute for Physics,
555,1000494,University of Tsukuba,
556,1000503,Cornell University,
557,1002546,Institute for Corpuscular Physics,
558,1002547,Clermont Université,
559,1000497,University of Melbourne,
560,1002552,Indiana University Bloomington,
561,1000508,University of Granada,
562,1000509,Stony Brook University,
563,1002549,Excellence Cluster Universe,
564,1002559,University of Giessen,
565,1002560,Nagoya University,
566,1001981,Ege University,
567,1002553,Thomas Jefferson National Accelerator Facility,
568,1000515,Universidade de São Paulo,
569,1002563,Roma Tre University,
570,1000517,University of Victoria,
571,1000518,Federal University of Rio de Janeiro,
572,1002567,INFN Sezione di Roma III,
573,1000520,University of British Columbia,
574,1002568,Obayashi (Japan),
575,1000522,University of Zurich,
576,1000525,"University of California, San Diego",
577,5002317,"Центр техно-математики и лаборатория вычислений Вестминстерского университета, г. Лондон",
578,1002575,Laboratory of Subatomic Physics and Cosmology,
579,1000528,University of Edinburgh,
580,1002576,National Institute for Subatomic Physics,
581,3155,Центр управления общественными пространствами экономического факультета,
582,1002579,INFN Sezione di Trieste,
583,5000279,"Институт проблем морских технологий ДВО РАН, Владивосток",
584,1000538,Instituto Politécnico Nacional,
585,1002586,University of Adelaide,
586,1002587,University of Chinese Academy of Sciences,
587,1002589,Université de Montréal,
588,1000542,Los Alamos National Laboratory,
589,1002594,Institute of Physics,
590,1000549,University of Montenegro,
591,1002598,University of Siegen,
592,5000295,"Акционерное общество &quot;Конструкторское бюро &quot;Аметист&quot;, Москва",
593,1004658,Gazi University,
594,1002611,Laboratoire de Physique Corpusculaire,
595,1002612,Laboratoire de Physique Nucléaire et de Hautes Énergies,
596,1002613,Center for Particle Physics of Marseilles,
597,1002615,GANIL,
598,5002360,"Институт физических проблем РАН, г. Москва",
599,1002619,University of Chicago,
600,1004028,West University of Timişoara,
601,1002621,The Abdus Salam International Centre for Theoretical Physics (ICTP),
602,1002620,Azienda Ospedaliera di Cosenza,
603,1002625,University of Birmingham,
604,1004029,Stockholm University,
605,1000579,Istanbul Technical University,
606,1001995,University of Cincinnati,
607,1000586,Vilnius University,
608,5000335,"Российский университет транспорта (МИИТ), Москва",
609,1002641,AGH University of Krakow,
610,1000597,National Institutes of Health,
611,1180,"Department of Security, Tomsk State University of Control Systems and Radioelectronics",
612,1001999,Brigham and Women's Hospital,
613,5000351,Воронежский государственный университет инженерных технологий,
614,1185,"Department of Technical Sciences, Institute of Control Sciences of Russian Academy of Sciences, Moscow, Russian Federation",
615,1002664,Nova Southeastern University,
616,1002003,Albert Einstein College of Medicine,
617,1000625,TU Dresden,
618,1000627,Max Planck Society,
619,1002677,Simon Fraser University,
620,1002675,Hiroshima University,
621,1000634,Harvard University Press,
622,5029054,Москва,
623,5029055,Москва,
624,1000639,Azerbaijan National Academy of Sciences,
625,1000640,Near East University,
626,1002691,National Tsing Hua University,
627,1000643,University of Minho,
628,1000647,National Technical University of Athens,
629,5000392,Санкт-Петербургский горный университет,
630,1000649,University of Strasbourg,
631,1000650,University of Upper Alsace,
632,1000651,An-Najah National University,
633,1000652,University of Tennessee at Knoxville,
634,5004493,Москва,
635,5016781,Лисичанский филиал Государственного института азотной промышленности и продуктов органического синтеза,
636,3279,Национальный исследовательский университет Высшая школа экономики,
637,1232,"Federal Research Center Computer Science and Control, Institute of Systems Analysis, RAS, 9, pr. 60-letiya Oktyabrya, Moscow, Russian Federation",
638,5016780,Институт химии растительных веществ Академии наук УзCCP,
639,1004750,Comenius University Bratislava,
640,1000653,Technical University of Munich,
641,1000662,Sofia University,
642,1000664,P.N. Lebedev Physical Institute of the Russian Academy of Sciences,
643,5004506,Москва,
644,1000674,Pennsylvania State University,
645,1000675,University of Paris-Saclay,
646,1000676,University of Paris-Sud,
647,1000677,Institut Polytechnique de Paris,
648,1004777,Osservatorio astronomico di Bologna,
649,5000427,Сочинский институт Российского университета дружбы народов,
650,1000683,Mines Saint-Étienne,
651,1002736,United Arab Emirates University,
652,5000433,Самарский государственный аэрокосмический университет им. академика С.П. Королева,
653,1000689,University of Parma,
654,5000435,"Государственный университет Джорджии, Атланта, США",
655,1004866,Federico Santa María Technical University,
656,1000697,University of Illinois Urbana-Champaign,
657,1000700,"University of California, Los Angeles",
658,1004300,Laboratoire de Physique des 2 Infinis Irène Joliot-Curie,
659,1000704,University of California System,
660,1000709,Severtsov Institute of Ecology and Evolution,
661,1000710,Northern (Arctic) Federal University,
662,1000712,Institute of Biology of Karelian Research Centre,
663,1000713,Czech Technical University in Prague,
664,1299,Industrial University of Tyumen,
665,1000725,Institute for High Energy Physics,
666,1000726,Karlsruhe Institute of Technology,
667,1000727,Joint Institute for Nuclear Research,
668,1000728,Michigan State University,
669,1000729,University of Ljubljana,
670,1000730,Lawrence Berkeley National Laboratory,
671,1000731,Durham University,
672,1000733,INFN Sezione di Torino,
673,5002526,"Байрейтовский университет, Германия",
674,1000735,European Organization for Nuclear Research,
675,1000734,University College London,
676,1000736,INFN Sezione di Genova,
677,1000737,University of Cambridge,
678,1002840,University of London,
679,1000743,Boğaziçi University,
680,1004876,TOBB University of Economics and Technology,
681,1000746,Wenzhou University,
682,5008687,"Научно-исследовательский инженерный институт, Москва",
683,5008688,"НИИэлектромаш, Ереван",
684,1329,"Institute of Nuclear Energy Technology (INET), Tsinghua University",
