,publ_id,publ_name,publ_name,publ_type,year
32,153,Система проектирования с интеллектуальным решателем,Система проектирования с интеллектуальным решателем,Секционный доклад,2006
33,32924,Определение критических комбинаций параметров сложных систем,Определение критических комбинаций параметров сложных систем,Секционный доклад,2024
34,32926,Построение дерева событий для обеспечения качества сварки в роботизированных технологических комплексах,Построение дерева событий для обеспечения качества сварки в роботизированных технологических комплексах,Секционный доклад,2024
35,159,Системы управления с идентификатором,Системы управления с идентификатором,Пленарный доклад,2005
36,173,Событийное логическое управление производственными процессами поточного типа,Событийное логическое управление производственными процессами поточного типа,Книга,2006
37,186,Техноэкополис «КАС» – центр инновационного развития на Дальнем Востоке,Техноэкополис «КАС» – центр инновационного развития на Дальнем Востоке,Секционный доклад,2005
38,32955,Повышение доступности промышленной системы управления на основе бимодальной сети с вейронами,Повышение доступности промышленной системы управления на основе бимодальной сети с вейронами,Секционный доклад,2024
39,32956,Методический подход к оценке трудозатрат при разработке сложных технических устройств,Методический подход к оценке трудозатрат при разработке сложных технических устройств,Секционный доклад,2024
40,192,Newton's Method and Its Role in Optimization,Newton's Method and Its Role in Optimization,Пленарный доклад,2005
41,206,Newton-Kantorovich Method and Its Global Convergence,Newton-Kantorovich Method and Its Global Convergence,Статья,2006
42,209,Комплексное оценивание и планирование развития региона,Комплексное оценивание и планирование развития региона,Книга,2006
43,32979,АНАЛИЗ ПОВЕДЕНИЯ ТРЕХМЕРНОЙ МОДЕЛИ ЭПИДЕМИИ,АНАЛИЗ ПОВЕДЕНИЯ ТРЕХМЕРНОЙ МОДЕЛИ ЭПИДЕМИИ,Секционный доклад,2024
44,32980,Analysis of the Behavior of a Three-dimensional Epidemic Model,Analysis of the Behavior of a Three-dimensional Epidemic Model,Секционный доклад,2024
45,32981,Analysis of medium-term forecasting methods for processes with structural shifts in financial and commodity markets,Analysis of medium-term forecasting methods for processes with structural shifts in financial and commodity markets,Статья,2024
46,32986,Применение ансамблевых методов машинного обучения для построения суррогатных моделей в задачах предварительного проектирования профиля крыла летательного аппарата,Применение ансамблевых методов машинного обучения для построения суррогатных моделей в задачах предварительного проектирования профиля крыла летательного аппарата,Секционный доклад,2024
47,218,Технология создания ортофотопланов по материалам космической съемки с помощью ПО «ЦФС-ТАЛКА»,Технология создания ортофотопланов по материалам космической съемки с помощью ПО «ЦФС-ТАЛКА»,Статья,2007
48,32990,Neural network model and software for an information system to intelligently analyze gas quality,Neural network model and software for an information system to intelligently analyze gas quality,Статья,2024
49,32991,О численных методах в задачах локализации,О численных методах в задачах локализации,Статья,2024
50,32996,Радиочастотный метод измерения уровня диэлектрической жидкости в емкости с инвариантностью к диэлектрической проницаемости жидкости,Радиочастотный метод измерения уровня диэлектрической жидкости в емкости с инвариантностью к диэлектрической проницаемости жидкости,Секционный доклад,2024
51,32998,"Семнадцатая международная конференция ""Управление развитием крупномасштабных систем "" MLSD'2024","Семнадцатая международная конференция ""Управление развитием крупномасштабных систем "" MLSD'2024",Статья,2024
52,232,Средства измерения параметров цепей переменного тока (программные),Средства измерения параметров цепей переменного тока (программные),Секционный доклад,2005
53,234,Вырожденные задачи синтеза системы управления линейным дискретным объектом,Вырожденные задачи синтеза системы управления линейным дискретным объектом,Статья,2005
54,33008,Исследование особенностей применения больших языковых моделей в качестве суммарайзеров и API в локальных поисковых системах,Исследование особенностей применения больших языковых моделей в качестве суммарайзеров и API в локальных поисковых системах,Секционный доклад,2024
55,245,Модели и методы управления портфелями проектов,Модели и методы управления портфелями проектов,Книга,2005
56,248,Региональное управление и технопарковые структуры,Региональное управление и технопарковые структуры,Секционный доклад,2005
57,1048826,Mathematical model and algorithm of operation scheduling for monitoring situation in local waters,Mathematical model and algorithm of operation scheduling for monitoring situation in local waters,Статья,2017
58,33019,К вопросу выбора прогнозирующей модели на основе ассоциативного поиска для технико-экономических параметров энергоблока АЭС (на примере прогноза нагрева охлаждающей воды),К вопросу выбора прогнозирующей модели на основе ассоциативного поиска для технико-экономических параметров энергоблока АЭС (на примере прогноза нагрева охлаждающей воды),Секционный доклад,2024
59,253,Пространственно-векторная мышь в интерактивных системах,Пространственно-векторная мышь в интерактивных системах,Секционный доклад,2006
60,258,Фирма «ТАЛКА-ТДВ» и цифровая фотограмметрическая станция «ТАЛКА»,Фирма «ТАЛКА-ТДВ» и цифровая фотограмметрическая станция «ТАЛКА»,Статья,2005
61,260,Сетевые модели реализации портфеля заказов,Сетевые модели реализации портфеля заказов,Статья,2005
62,33029,Оценка экологической культуры и воспитания разных этнических групп в студенческой среде,Оценка экологической культуры и воспитания разных этнических групп в студенческой среде,Секционный доклад,2023
63,33032,Экологическое образование как важный элемент устойчивого развития страны,Экологическое образование как важный элемент устойчивого развития страны,Секционный доклад,2024
64,272,Технопарковые структуры и иннновационное развитие Дальнего востока России,Технопарковые структуры и иннновационное развитие Дальнего востока России,Секционный доклад,2006
65,288,Моделирование динамики потоков в многоагентных системах,Моделирование динамики потоков в многоагентных системах,Статья,2005
66,289,Ролевое моделирование многоагентных систем,Ролевое моделирование многоагентных систем,Статья,2005
67,295,Localization of Compact Invariant Sets of the Lorenz System,Localization of Compact Invariant Sets of the Lorenz System,Статья,2006
68,298,Нейросемантическая форма представления информации,Нейросемантическая форма представления информации,Тезисы доклада,2005
69,299,Определение понятия «информация» с позиций нейросемантики,Определение понятия «информация» с позиций нейросемантики,Книга,2006
70,300,Экспериментальное исследование конечно-частотного идентификатора,Экспериментальное исследование конечно-частотного идентификатора,Секционный доклад,2005
71,301,Нейросемантические регуляторы как полигон для исследования когнитивных функций,Нейросемантические регуляторы как полигон для исследования когнитивных функций,Тезисы доклада,2005
72,314,Взаимодействие целевой и операционной динамических моделей сложных процессов,Взаимодействие целевой и операционной динамических моделей сложных процессов,Статья,2005
73,321,Controlling Chaos With Predictive Control,Controlling Chaos With Predictive Control,Статья,2006
74,33090,Model of the Impact of Rapid Growth on Enterprise Value,Model of the Impact of Rapid Growth on Enterprise Value,Секционный доклад,2024
75,33091,On Rational Decisions under Different Criteria: Profit Pricing Policy,On Rational Decisions under Different Criteria: Profit Pricing Policy,Секционный доклад,2024
76,33092,The Indicative Plan Models: Industries and Companies,The Indicative Plan Models: Industries and Companies,Секционный доклад,2024
77,325,Стабилизация колесного робота при учете ограничений на управление,Стабилизация колесного робота при учете ограничений на управление,Секционный доклад,2006
78,33093,The Problem of Global Energy Flow Management,The Problem of Global Energy Flow Management,Секционный доклад,2024
79,33094,Approach to Identifying Critical Combinations of Events and Parameters in Complex Systems,Approach to Identifying Critical Combinations of Events and Parameters in Complex Systems,Секционный доклад,2024
80,323,Стабилизация колесного робота при учете ограничений на управление. Третья международная конференция по проблемам управления,Стабилизация колесного робота при учете ограничений на управление. Третья международная конференция по проблемам управления,Тезисы доклада,2006
81,33097,Индикативное планирование: инструменты моделирования,Индикативное планирование: инструменты моделирования,Секционный доклад,2024
82,33098,Модель системной динамики для оценки качества ERP-систем,Модель системной динамики для оценки качества ERP-систем,Секционный доклад,2024
83,33096,Многоуровневая система анализа быстрорастущих организаций,Многоуровневая система анализа быстрорастущих организаций,Секционный доклад,2024
84,33100,Задача управления крупномасштабными энергетическими потоками,Задача управления крупномасштабными энергетическими потоками,Секционный доклад,2024
85,33101,Модель прогнозирования экономических показателей предприятия с помощью конформных предикторов,Модель прогнозирования экономических показателей предприятия с помощью конформных предикторов,Секционный доклад,2024
86,333,On the Relation Between Equations With Max-Product Composition and Covering Problem,On the Relation Between Equations With Max-Product Composition and Covering Problem,Статья,2005
87,33103,Колебательно-волновой подход к системно-динамическому моделированию производственных киберфизических систем,Колебательно-волновой подход к системно-динамическому моделированию производственных киберфизических систем,Секционный доклад,2024
88,33104,Прогнозирование выручки быстрорастущей компании с использованием логистической кривой,Прогнозирование выручки быстрорастущей компании с использованием логистической кривой,Статья,2024
89,334,Когнитивный подход к развитию ситуаций в информационных технологиях,Когнитивный подход к развитию ситуаций в информационных технологиях,Секционный доклад,2005
90,33099,Модели индикативного планирования: отрасли и предприятия,Модели индикативного планирования: отрасли и предприятия,Пленарный доклад,2024
91,342,Система поддержки принятия управленческих решений с применением имитационного моделирования,Система поддержки принятия управленческих решений с применением имитационного моделирования,Статья,2006
92,374,Controlling Chaos and Synchronization by Predictive Control,Controlling Chaos and Synchronization by Predictive Control,Пленарный доклад,2005
93,385,Минимаксная прогнозирующая модель в системе управления с идентификатором,Минимаксная прогнозирующая модель в системе управления с идентификатором,Статья,2007
94,408,Развитие метода D-разбиения,Развитие метода D-разбиения,Секционный доклад,2005
95,410,Средства измерения параметров цепей переменного тока (приборы),Средства измерения параметров цепей переменного тока (приборы),Статья,2005
96,413,Расширение возможностей системы ГАММА-2РС с помощью функций системы MATLAB,Расширение возможностей системы ГАММА-2РС с помощью функций системы MATLAB,Секционный доклад,2005
97,417,Интеллектуализация системы ГАММА-2РС,Интеллектуализация системы ГАММА-2РС,Тезисы доклада,2006
98,438,Теоретические исследования работоспособности кольцевых анизотропных магниторезистивных микроэлементов,Теоретические исследования работоспособности кольцевых анизотропных магниторезистивных микроэлементов,Секционный доклад,2006
99,442,Двухслойный микродатчик магнитного поля кольцевой формы,Двухслойный микродатчик магнитного поля кольцевой формы,Секционный доклад,2006
100,457,Анализ работоспособности датчика магнитного поля на основе микроэлемента кольцевой формы,Анализ работоспособности датчика магнитного поля на основе микроэлемента кольцевой формы,Статья,2005
101,462,Обеспечение стойкости систем управления летательных аппаратов к внешним возмущающим факторам,Обеспечение стойкости систем управления летательных аппаратов к внешним возмущающим факторам,Статья,2006
102,464,"О рисках, связанных с ошибками экспертов и аналитиков","О рисках, связанных с ошибками экспертов и аналитиков",Статья,2006
103,470,Учебная система проектирования схемной документации,Учебная система проектирования схемной документации,Секционный доклад,2005
104,476,Ring-Shaped Anisotropic Magnetoresistance-Based Mesoscopic Sensor and Its Characteristics,Ring-Shaped Anisotropic Magnetoresistance-Based Mesoscopic Sensor and Its Characteristics,Тезисы доклада,2005
105,478,On Uniqueness of Solusion of a Reverse Problem of Magnetic Location,On Uniqueness of Solusion of a Reverse Problem of Magnetic Location,Тезисы доклада,2005
106,512,Системы управления с идентификатором. Ч.2,Системы управления с идентификатором. Ч.2,Статья,2006
107,513,Вырожденные линейно-квадратичные задачи для систем управления с непрерывным временем,Вырожденные линейно-квадратичные задачи для систем управления с непрерывным временем,Секционный доклад,2006
108,515,О вырожденных линейно-квадратичных задачах для объектов с дискретным временем,О вырожденных линейно-квадратичных задачах для объектов с дискретным временем,Секционный доклад,2006
109,520,"Точность модели, построенной по косвенным измерениям","Точность модели, построенной по косвенным измерениям",Секционный доклад,2005
110,5046793,Сравнение сумм мультипликативных функций,Сравнение сумм мультипликативных функций,Статья,1990
111,535,Подавление ограниченных возмущений на примере задачи о двойном маятнике,Подавление ограниченных возмущений на примере задачи о двойном маятнике,Тезисы доклада,2006
112,537,Rejection of Bounded Disturbances via Invariant Ellipsoids Technique,Rejection of Bounded Disturbances via Invariant Ellipsoids Technique,Секционный доклад,2006
113,542,Измерение концентрации веществ в водных растворах,Измерение концентрации веществ в водных растворах,Статья,2006
114,544,Stability Domain in the Parameter Space: D-Decomposition Revisited,Stability Domain in the Parameter Space: D-Decomposition Revisited,Статья,2006
115,546,Iterations of Perturbed Tent Maps With Applications to Chaos Control,Iterations of Perturbed Tent Maps With Applications to Chaos Control,Секционный доклад,2006
116,5014052,Об одном методе обнаружения одиночных неисправностей в схемах с памятью,Об одном методе обнаружения одиночных неисправностей в схемах с памятью,Статья,1972
117,552,Технопарковые структуры и инновационное развитие Дальнего Востока России,Технопарковые структуры и инновационное развитие Дальнего Востока России,Секционный доклад,2006
118,562,Автоматизированное проектирование и выпуск схемной документации на аппаратуру средств связи,Автоматизированное проектирование и выпуск схемной документации на аппаратуру средств связи,Книга,2006
119,564,Нелокальная параметрическая стабилизация бокового движения самолета,Нелокальная параметрическая стабилизация бокового движения самолета,Секционный доклад,2006
120,570,Определение понятия «знание» с позиции нейросемантики,Определение понятия «знание» с позиции нейросемантики,Секционный доклад,2006
121,571,Механизм кластеризации непрерывного символьного потока из произвольной предметной области,Механизм кластеризации непрерывного символьного потока из произвольной предметной области,Тезисы доклада,2006
122,574,Формализация определения понятия «управление» с позиции нейросемантики,Формализация определения понятия «управление» с позиции нейросемантики,Тезисы доклада,2006
123,575,Ресурсные затраты информационных систем на базе нейросемантических структур,Ресурсные затраты информационных систем на базе нейросемантических структур,Секционный доклад,2005
124,579,Событийные модели управления технологическими процессами ориентированные на защиту от ошибочных действий персонала,Событийные модели управления технологическими процессами ориентированные на защиту от ошибочных действий персонала,Книга,2006
125,5014084,Об одном способе отображения и преобразования однопеременных кодов,Об одном способе отображения и преобразования однопеременных кодов,Статья,1973
126,582,Логическое моделирование организационной структуры производства с рассредоточенной технологией,Логическое моделирование организационной структуры производства с рассредоточенной технологией,Тезисы доклада,2006
127,586,Application of Active Scripts for Profile Inclusion of Personel in Control of Manufacturing,Application of Active Scripts for Profile Inclusion of Personel in Control of Manufacturing,Секционный доклад,2006
128,587,Methods of Calculation for Optimal Mobile Control in Distributed Parameter Sistems,Methods of Calculation for Optimal Mobile Control in Distributed Parameter Sistems,Секционный доклад,2007
129,596,Разработка функциональности системы поддержки принятия решений для диспетчерского управления транспортом газа на основе событийного моделирования,Разработка функциональности системы поддержки принятия решений для диспетчерского управления транспортом газа на основе событийного моделирования,Секционный доклад,2006
130,599,Моделирование регламентов управления процессами с помощью активных сценариев,Моделирование регламентов управления процессами с помощью активных сценариев,Тезисы доклада,2006
131,606,Логические модели технологической структуры объектов поточно транспортного типа,Логические модели технологической структуры объектов поточно транспортного типа,Тезисы доклада,2006
132,611,Когнитивный подход к управлению безопасностью сложных систем,Когнитивный подход к управлению безопасностью сложных систем,Тезисы доклада,2005
133,617,Мониторинг безопасного развития сложного объекта,Мониторинг безопасного развития сложного объекта,Секционный доклад,2005
134,618,Когнитивное моделирование для решения задач управления слабоструктурированными системами,Когнитивное моделирование для решения задач управления слабоструктурированными системами,Секционный доклад,2006
135,621,Методика анализа систем автоматизации технического обслуживания и ремонта на производстве,Методика анализа систем автоматизации технического обслуживания и ремонта на производстве,Тезисы доклада,2005
136,625,Ключевые положения создания системы предупреждения аварийных ситуаций на объектах уничтожения химического оружия,Ключевые положения создания системы предупреждения аварийных ситуаций на объектах уничтожения химического оружия,Статья,2005
137,626,Russian Textbooks on Automatic Control,Russian Textbooks on Automatic Control,Статья,2006
138,627,New Challenges in Nonlinear Control: Stabilization and Synchronization of Chaos,New Challenges in Nonlinear Control: Stabilization and Synchronization of Chaos,Статья,2006
139,628,Метод нахождения точек контроля для систем противоаварийной защиты,Метод нахождения точек контроля для систем противоаварийной защиты,Статья,2005
140,629,Метод Ньютона и его роль в вычислительной математике и оптимизации,Метод Ньютона и его роль в вычислительной математике и оптимизации,Пленарный доклад,2006
141,630,Применение активных сценариев для управления технологическими процессами,Применение активных сценариев для управления технологическими процессами,Тезисы доклада,2005
142,631,On the Complete Instability of Interval Polynomials,On the Complete Instability of Interval Polynomials,Секционный доклад,2006
143,634,Solving LMIs via Random Search,Solving LMIs via Random Search,Тезисы доклада,2006
144,637,On the Complete Instability of Interval Polynomials,On the Complete Instability of Interval Polynomials,Секционный доклад,2006
145,638,Построение организационной структуры системы обслуживания технологических процессов,Построение организационной структуры системы обслуживания технологических процессов,Секционный доклад,2005
146,643,Управление и стабилизация хаоса с помощью прогнозирующего управления,Управление и стабилизация хаоса с помощью прогнозирующего управления,Секционный доклад,2005
147,644,Методы индикативного планирования в региональном управлении,Методы индикативного планирования в региональном управлении,Книга,2006
148,645,Анализ функциональности систем управления техническим обслуживанием и ремонтом оборудования,Анализ функциональности систем управления техническим обслуживанием и ремонтом оборудования,Статья,2005
149,649,Designing Strategy of Development of Social and Economic Objects Through Cognitive Modeling,Designing Strategy of Development of Social and Economic Objects Through Cognitive Modeling,Секционный доклад,2006
150,657,"Задачи, решаемые с применением нейронных сетей, при измерении параметров цепей переменного тока","Задачи, решаемые с применением нейронных сетей, при измерении параметров цепей переменного тока",Секционный доклад,2005
151,660,Частотное адаптивное управление многомерными объектами,Частотное адаптивное управление многомерными объектами,Статья,2006
152,661,Применение структурно-целевого анализа развития социально-экономических ситуаций,Применение структурно-целевого анализа развития социально-экономических ситуаций,Статья,2005
153,665,ГАММА-2РС система программ для автоматизации разработки алгоритмов управления. Руководство пользователя,ГАММА-2РС система программ для автоматизации разработки алгоритмов управления. Руководство пользователя,Книга,2006
154,671,Уточнение понятия интеллектуального средства измерения,Уточнение понятия интеллектуального средства измерения,Секционный доклад,2005
155,674,Методы визуализации данных в средствах измерений параметров цепей переменного тока,Методы визуализации данных в средствах измерений параметров цепей переменного тока,Секционный доклад,2006
156,676,Эволюция определения интеллектуальных средств измерения,Эволюция определения интеллектуальных средств измерения,Статья,2005
